"time","Spot_Price","Solar_photovoltaic","Combined_cycle","Other_renewables","input_baleares","Cogeneration","Steam_turbine"
2014-01-01,20.02,7.631801,53.5346,11.89724,2443.867,54.043077,6.117065
2014-01-02,5.13,3.836442,52.322227,11.564649,3472.027,79.006632,7.586721
2014-01-03,15.3,8.673179,51.254562,11.891476,3254.386,85.658228,8.043085
2014-01-04,21.5,8.813196,32.862777,12.10326,3103.574,65.312961,6.875346
2014-01-05,5,10.878603,41.422898,11.775113,2654.942,64.800182,6.511197
2014-01-06,25,14.575066,44.002059,11.760383,2610.533,72.983825,6.032249
2014-01-07,24.8,15.038529,61.4529,11.433295,3213.432,87.134418,7.52242
2014-01-08,35.44,16.509065,50.235866,12.135745,3208.205,92.107381,7.412564
2014-01-09,26.46,13.48375,67.803967,12.587381,3208.896,93.64183,7.573813
2014-01-10,44.95,9.63723,78.567867,12.718091,3203.755,94.233297,7.488439
2014-01-11,55.69,11.343641,59.293168,12.892435,3053.203,75.044951,6.969413
2014-01-12,46.73,11.090636,37.154746,13.06705,2651.185,71.351372,6.341824
2014-01-13,37.5,8.208454,59.456535,12.809026,3257.669,88.853206,7.249543
2014-01-14,7.4,7.283451,46.121797,12.36241,3513.671,89.11948,7.241835
2014-01-15,44.86,6.902819,67.316523,12.428729,3254.084,92.040111,7.689113
2014-01-16,29.12,7.648331,62.433983,12.676106,3255.292,91.822349,7.691602
2014-01-17,27.93,11.94532,62.244389,12.849726,3193.431,92.542349,7.681737
2014-01-18,53.64,9.120161,49.935804,12.987735,3078.129,73.859535,7.328771
2014-01-19,54,11.021692,50.534291,12.315715,2450.218,71.862903,6.86507
2014-01-20,26.62,17.31775,66.195412,11.65973,3178.181,88.772923,7.342984
2014-01-21,47.5,10.746462,85.020088,12.012489,3260.217,90.927369,7.575441
2014-01-22,45,10.110534,91.434886,11.904225,3582.23,90.803729,7.649731
2014-01-23,45.69,20.917216,71.019965,12.237642,4080.716,90.330182,6.995183
2014-01-24,44.17,17.907167,57.36074,12.887098,4119.379,91.445532,6.184047
2014-01-25,25,16.660713,36.819803,13.146385,3139.085,70.834397,5.480738
2014-01-26,36.69,18.287051,41.157365,12.848496,2713.047,66.854591,4.802717
2014-01-27,4.69,16.418597,45.27289,12.267531,3242.85,81.659366,6.437366
2014-01-28,3.5,11.395691,31.54384,12.312629,3195.073,82.936736,6.227158
2014-01-29,1,12.132648,103.908437,11.988802,3195.546,85.900349,7.322118
2014-01-30,29.69,20.82357,62.906062,11.383619,3613.811,86.471583,7.248964
2014-01-31,30,11.159963,89.398126,11.991376,3243.888,88.107577,7.209253
2014-02-01,22.69,12.262597,35.66705,10.769767,3113.769,66.97226,6.777778
2014-02-02,24.69,22.786247,63.177557,10.769245,2566.123,69.097578,6.241169
2014-02-03,28.36,11.120897,75.416051,11.885545,3957.25,85.996966,6.408161
2014-02-04,15.98,11.883014,65.526283,12.002309,4019.285,84.395248,5.992876
2014-02-05,0.1,11.845261,49.831451,11.938248,4005.676,81.799786,6.952733
2014-02-06,3,15.568855,43.414586,12.140346,3527.107,80.466189,6.896268
2014-02-07,0.5,18.011583,36.217905,11.184108,3351.457,77.850053,6.841611
2014-02-08,3,9.360108,27.244768,10.319368,3083.702,57.694312,5.97668
2014-02-09,0.2,5.652344,32.700784,10.112351,2566.123,56.615076,6.065073
2014-02-10,0,17.013106,41.646075,10.14578,3258.792,70.770825,6.603714
2014-02-11,0.51,6.192486,78.209461,10.554488,3229.071,73.16706,6.482225
2014-02-12,14,13.733092,68.594312,9.805825,3244.838,72.950307,6.386064
2014-02-13,0.5,14.157042,50.041828,9.848206,3240.735,64.551482,6.743539
2014-02-14,0.5,16.444431,42.55992,9.376849,3193.689,61.80552,7.067815
2014-02-15,6,12.893458,60.770643,9.486194,2935.699,51.508614,6.358158
2014-02-16,40.1,16.820627,55.033705,9.78795,2554.417,52.104606,5.784931
2014-02-17,25,15.406473,81.731418,10.240569,3166.386,67.046925,6.522166
2014-02-18,46,10.999624,77.566098,10.978004,3171.917,75.320755,6.600319
2014-02-19,18,25.376744,71.559965,10.366322,3196.281,72.395737,6.463798
2014-02-20,7,15.57282,50.57461,9.74168,3225.14,63.732302,6.506731
2014-02-21,5.5,20.958747,51.797204,10.149413,3208.032,64.349993,6.057488
2014-02-22,49,24.388962,41.286869,10.282515,2884.248,53.753717,6.093625
2014-02-23,21.5,27.395978,35.457496,9.72007,2546.251,50.127547,5.455933
2014-02-24,13.1,14.042031,65.917725,10.698214,2648.981,66.552819,5.765695
2014-02-25,16.3,15.897581,41.491825,10.232306,2618.092,64.291897,6.189043
2014-02-26,10,21.200097,68.904107,10.83224,2615.89,66.148004,5.878183
2014-02-27,26,11.490125,76.653177,11.276896,2622.283,66.560309,5.780585
2014-02-28,5.78,15.90907,33.600995,9.352625,3168.462,58.030172,5.849755
2014-03-01,4.73,7.461922,33.296097,9.119414,2741.429,46.441062,5.255607
2014-03-02,1.19,14.21254,31.534713,8.814496,2516.615,43.624072,4.690683
2014-03-03,0,20.297958,30.91638,8.622656,2601.85,49.913989,5.492609
2014-03-04,1,22.863774,32.65455,8.634392,2549.577,51.666752,4.757476
2014-03-05,2,23.767319,68.247471,8.880343,2686.22,56.871171,5.776041
2014-03-06,35.1,29.528031,74.039657,10.340276,2534.933,70.846064,6.21815
2014-03-07,36.4,30.115854,69.066736,10.027346,2546.769,73.934522,6.396668
2014-03-08,33.7,30.750951,35.350227,9.6589,2804.674,46.254027,4.465128
2014-03-09,11,26.662717,42.406044,9.016068,2490.523,41.113008,4.256695
2014-03-10,22.69,30.796825,60.348311,9.279818,3116.534,63.989309,5.080696
2014-03-11,20,28.589643,58.492528,9.866369,3121.762,67.09895,5.253018
2014-03-12,29.7,21.461515,58.324031,10.292022,3112.69,70.437615,5.19552
2014-03-13,37,21.630234,83.500814,11.130804,3113.855,72.569313,5.078791
2014-03-14,39,21.61922,78.107034,11.56059,2703.457,72.708327,4.567688
2014-03-15,35.7,30.117321,39.007696,11.066962,2809.814,53.281904,3.886655
2014-03-16,23.2,30.798152,42.839849,10.150301,2452.075,47.163668,3.913288
2014-03-17,35.01,30.520573,67.850002,11.064504,3107.505,67.602596,5.131846
2014-03-18,43.56,28.649401,48.11629,11.914398,3111.653,70.094085,4.275731
2014-03-19,22,26.736346,55.818365,11.441127,3038.429,67.791592,4.275854
2014-03-20,42.3,26.753506,54.057157,11.693381,2983.478,70.665353,4.414839
2014-03-21,31.15,21.503574,45.323438,11.205286,2983.782,67.944646,4.69215
2014-03-22,36.1,19.462289,33.200559,10.097916,2897.381,46.346407,4.005468
2014-03-23,17,30.837775,40.027364,9.477121,2388.571,44.124262,3.986856
2014-03-24,36,21.991612,41.842657,9.594805,3018.297,59.337316,4.137681
2014-03-25,10.03,20.503923,37.844265,7.949965,3179.477,53.610398,4.018552
2014-03-26,6,24.846996,51.916004,8.781874,3417.163,55.260876,5.083596
2014-03-27,38,26.488998,94.980828,10.241015,3354.783,69.586196,5.659402
2014-03-28,38.88,15.662772,47.788599,9.678661,3413.016,68.486633,6.491866
2014-03-29,30.4,13.187164,35.592559,9.058603,2926.281,51.477707,5.055873
2014-03-30,33.2,16.546483,39.352617,8.506963,2313.49,48.208731,4.264617
2014-03-31,28.64,21.605236,63.385205,8.711873,2213.568,62.728946,4.401186
2014-04-01,28,16.874687,37.621274,8.131211,2221.214,58.720728,3.920195
2014-04-02,22.1,10.921693,65.493115,8.8483,2224.325,62.586838,4.355883
2014-04-03,34.1,18.312466,51.931716,8.561132,2231.539,62.016167,4.316092
2014-04-04,9,25.029462,43.794722,8.492369,2275.56,55.959576,4.070991
2014-04-05,17.9,21.749287,46.758516,8.73519,3164.4,46.627162,3.591131
2014-04-06,33,30.461437,52.892233,8.605494,2465.683,46.094225,3.488116
2014-04-07,35.69,31.317294,57.27389,8.311616,2225.189,61.098595,4.068512
2014-04-08,37.69,30.943052,55.780093,8.390765,2195.727,64.028466,4.103543
2014-04-09,28,27.4554,60.783113,8.891007,2195.38,64.518453,4.789349
2014-04-10,33.73,27.798129,79.597315,8.687761,2210.976,63.347151,4.105341
2014-04-11,28.69,25.960344,50.06772,8.693209,2502.23,59.717671,4.426516
2014-04-12,25,25.548694,40.415064,8.683845,2716.46,43.391411,5.17614
2014-04-13,22.29,32.11182,50.041331,8.66148,2421.922,42.209012,5.158117
2014-04-14,21.69,25.433535,53.303307,9.059439,3011.86,54.462217,6.423575
2014-04-15,33.1,26.87028,68.278406,8.863573,2933.582,59.74259,6.599926
2014-04-16,38.01,30.495519,76.002282,9.357739,2938.508,58.320711,6.384256
2014-04-17,31.69,31.370215,42.175364,9.072427,2742.12,48.792451,5.859551
2014-04-18,33.78,30.931312,47.708822,8.803373,2588.759,44.160813,4.804786
2014-04-19,23.56,20.717821,47.525206,8.489741,2791.671,41.475024,5.680788
2014-04-20,15.72,18.929724,48.174397,8.309856,2422.008,39.104487,5.276276
2014-04-21,30.08,17.572502,58.434779,8.098867,2461.407,48.424419,6.343657
2014-04-22,26.84,27.519175,47.810009,8.368082,3194.942,54.550754,6.328014
2014-04-23,31,27.031401,57.864124,9.400567,3224.708,60.565085,6.082224
2014-04-24,41.5,24.272298,37.473433,9.628888,3140.294,60.155028,5.565026
