"time","Spot_Price","Solar_photovoltaic","Combined_cycle","Other_renewables","input_baleares","Cogeneration","Steam_turbine","exports_portugal","saldo_portugal","exports_francia","imports_portugal","Hydroelectric","saldo_francia","fe_year"
2014-01-01,20.02,7.631801,53.5346,11.89724,2443.867,54.043077,6.117065,-16334.672,13831.083,-19262.042,30165.755,73.065052,-16381.271,2014
2014-01-02,5.13,3.836442,52.322227,11.564649,3472.027,79.006632,7.586721,-9349.528,30211.479,-14351.584,39561.007,89.171545,-9925.69,2014
2014-01-03,15.3,8.673179,51.254562,11.891476,3254.386,85.658228,8.043085,-16699.38,17210.562,-8798.838,33909.942,102.502527,8675.125,2014
2014-01-04,21.5,8.813196,32.862777,12.10326,3103.574,65.312961,6.875346,-7799.482,30882.6,-24126.486,38682.082,106.840706,-23558.664,2014
2014-01-05,5,10.878603,41.422898,11.775113,2654.942,64.800182,6.511197,-8927.225,24344.465,-24503.275,33271.69,117.217635,-24427.37,2014
2014-01-06,25,14.575066,44.002059,11.760383,2610.533,72.983825,6.032249,-10868.077,27674.174,-20988.426,38542.251,110.841694,-19239.516,2014
2014-01-07,24.8,15.038529,61.4529,11.433295,3213.432,87.134418,7.52242,-13730.778,34233.127,-8094.005,47963.905,137.05777,4433.38,2014
2014-01-08,35.44,16.509065,50.235866,12.135745,3208.205,92.107381,7.412564,-12267.539,43748.465,-14606.397,56016.004,140.921275,-6319.42,2014
2014-01-09,26.46,13.48375,67.803967,12.587381,3208.896,93.64183,7.573813,-11882.266,25561.186,-5676.09,37443.452,145.404939,14190.713,2014
2014-01-10,44.95,9.63723,78.567867,12.718091,3203.755,94.233297,7.488439,-19304.371,6255.307,-1492.664,25559.678,146.323349,17330.937,2014
2014-01-11,55.69,11.343641,59.293168,12.892435,3053.203,75.044951,6.969413,-14134.753,24737.257,-1093.174,38872.01,148.799593,17269.131,2014
2014-01-12,46.73,11.090636,37.154746,13.06705,2651.185,71.351372,6.341824,-14749.625,28219.779,-3607.982,42969.404,127.057432,9571.52,2014
2014-01-13,37.5,8.208454,59.456535,12.809026,3257.669,88.853206,7.249543,-11890.967,30143.706,-16680.496,42034.673,146.286975,-13536.112,2014
2014-01-14,7.4,7.283451,46.121797,12.36241,3513.671,89.11948,7.241835,-12030.448,24210.56,-17537.149,36241.008,134.555725,-14343.232,2014
2014-01-15,44.86,6.902819,67.316523,12.428729,3254.084,92.040111,7.689113,-18036.053,34930.842,-9899.63,52966.895,142.61891,-427.853999999999,2014
2014-01-16,29.12,7.648331,62.433983,12.676106,3255.292,91.822349,7.691602,-15674.019,33158.032,-10836.043,48832.051,140.457456,1030.797,2014
2014-01-17,27.93,11.94532,62.244389,12.849726,3193.431,92.542349,7.681737,-14657.929,28289.838,-9578.569,42947.767,141.433915,2941.999,2014
2014-01-18,53.64,9.120161,49.935804,12.987735,3078.129,73.859535,7.328771,-8383.919,33314.329,-574.147,41698.248,146.938396,21529.206,2014
2014-01-19,54,11.021692,50.534291,12.315715,2450.218,71.862903,6.86507,-1194.346,44753.856,-7940.179,45948.202,127.720689,5902.193,2014
2014-01-20,26.62,17.31775,66.195412,11.65973,3178.181,88.772923,7.342984,-12934.631,10433.284,-17097.225,23367.915,144.55538,-15304.423,2014
2014-01-21,47.5,10.746462,85.020088,12.012489,3260.217,90.927369,7.575441,-14755.253,26490.25,-17579.068,41245.503,155.319027,-15724.23,2014
2014-01-22,45,10.110534,91.434886,11.904225,3582.23,90.803729,7.649731,-11703.91,30809.41,-20373.156,42513.32,153.675451,-18763.876,2014
2014-01-23,45.69,20.917216,71.019965,12.237642,4080.716,90.330182,6.995183,-12732.8,22670.656,-21101.637,35403.456,154.527977,-19978.499,2014
2014-01-24,44.17,17.907167,57.36074,12.887098,4119.379,91.445532,6.184047,-19179.924,16834.412,-23207.877,36014.336,144.196431,-23165.106,2014
2014-01-25,25,16.660713,36.819803,13.146385,3139.085,70.834397,5.480738,-12398.358,11086.039,-18970.077,23484.397,139.108466,-13773.81,2014
2014-01-26,36.69,18.287051,41.157365,12.848496,2713.047,66.854591,4.802717,-24864.13,-4505.803,-15063.955,20358.327,132.468684,-10663.131,2014
2014-01-27,4.69,16.418597,45.27289,12.267531,3242.85,81.659366,6.437366,-19894.349,2741.391,-24721.163,22635.74,134.185017,-24699.621,2014
2014-01-28,3.5,11.395691,31.54384,12.312629,3195.073,82.936736,6.227158,-13039.718,18562.296,-25823.996,31602.014,150.88759,-24925.6,2014
2014-01-29,1,12.132648,103.908437,11.988802,3195.546,85.900349,7.322118,-3742.058,35528.693,-24440.246,39270.751,174.746231,-24175.235,2014
2014-01-30,29.69,20.82357,62.906062,11.383619,3613.811,86.471583,7.248964,-6237.081,29367.385,-23855.944,35604.466,169.006172,-23816.783,2014
2014-01-31,30,11.159963,89.398126,11.991376,3243.888,88.107577,7.209253,-7347.254,35740.696,-23105.977,43087.95,183.500815,-21431.485,2014
2014-02-01,22.69,12.262597,35.66705,10.769767,3113.769,66.97226,6.777778,-8874.789,32018.981,-23525.366,40893.77,161.849275,-23427.055,2014
2014-02-02,24.69,22.786247,63.177557,10.769245,2566.123,69.097578,6.241169,-16229.614,10828.642,-19995.902,27058.256,177.293355,-19724.319,2014
2014-02-03,28.36,11.120897,75.416051,11.885545,3957.25,85.996966,6.408161,-5632.629,35467.573,-25174.911,41100.202,188.258226,-24204.472,2014
2014-02-04,15.98,11.883014,65.526283,12.002309,4019.285,84.395248,5.992876,-5843.44,30902.274,-25289.506,36745.714,194.357593,-24452.555,2014
2014-02-05,0.1,11.845261,49.831451,11.938248,4005.676,81.799786,6.952733,-7403.789,25379.947,-25016.85,32783.736,164.878127,-24348.41,2014
2014-02-06,3,15.568855,43.414586,12.140346,3527.107,80.466189,6.896268,-469.029,39767.168,-25275.507,40236.197,179.597777,-24709.141,2014
2014-02-07,0.5,18.011583,36.217905,11.184108,3351.457,77.850053,6.841611,-2603.705,32292.741,-24609.445,34896.446,176.85294,-24526.511,2014
2014-02-08,3,9.360108,27.244768,10.319368,3083.702,57.694312,5.97668,-4471.517,22549.815,-24920.334,27021.332,190.947586,-24795.588,2014
2014-02-09,0.2,5.652344,32.700784,10.112351,2566.123,56.615076,6.065073,-5826.129,18210.956,-25414.213,24037.085,204.256491,-24879.281,2014
2014-02-10,0,17.013106,41.646075,10.14578,3258.792,70.770825,6.603714,-15123.57,1538.686,-24326.308,16662.256,211.38201,-24074.974,2014
