"time","exports_francia","imports_francia","saldo_francia","exports_portugal","imports_portugal","saldo_portugal","exports_marruecos","imports_marruecos","saldo_marruecos","exports_andorra","imports_andorra","saldo_andorra","output_baleares","input_baleares"
"2014-01-01T00:00:00.000+01:00",-19262.042,2880.771,-16381.271,-16334.672,30165.755,13831.083,-16799.6,0,-16799.6,-876.98,0,-876.98,-2443.867,2443.867
"2014-01-02T00:00:00.000+01:00",-14351.584,4425.894,-9925.69,-9349.528,39561.007,30211.479,-16293.7,0,-16293.7,-835.93,0,-835.93,-3472.027,3472.027
"2014-01-03T00:00:00.000+01:00",-8798.838,17473.963,8675.125,-16699.38,33909.942,17210.562,-17158.8,0,-17158.8,-733.89,0,-733.89,-3254.386,3254.386
"2014-01-04T00:00:00.000+01:00",-24126.486,567.822,-23558.664,-7799.482,38682.082,30882.6,-16974.7,0,-16974.7,-1015.99,0,-1015.99,-3103.574,3103.574
"2014-01-05T00:00:00.000+01:00",-24503.275,75.905,-24427.37,-8927.225,33271.69,24344.465,-14009.4,0.4,-14009,-984.3,0,-984.3,-2654.942,2654.942
"2014-01-06T00:00:00.000+01:00",-20988.426,1748.91,-19239.516,-10868.077,38542.251,27674.174,-15762,0,-15762,-731.84,0,-731.84,-2610.533,2610.533
"2014-01-07T00:00:00.000+01:00",-8094.005,12527.385,4433.38,-13730.778,47963.905,34233.127,-14776.3,0.2,-14776.1,-801.96,0,-801.96,-3213.432,3213.432
"2014-01-08T00:00:00.000+01:00",-14606.397,8286.977,-6319.42,-12267.539,56016.004,43748.465,-12922,1,-12921,-805.1,0,-805.1,-3208.205,3208.205
"2014-01-09T00:00:00.000+01:00",-5676.09,19866.803,14190.713,-11882.266,37443.452,25561.186,-13969.1,0,-13969.1,-818.99,0,-818.99,-3208.896,3208.896
"2014-01-10T00:00:00.000+01:00",-1492.664,18823.601,17330.937,-19304.371,25559.678,6255.307,-16878.2,0,-16878.2,-810.09,0,-810.09,-3203.755,3203.755
"2014-01-11T00:00:00.000+01:00",-1093.174,18362.305,17269.131,-14134.753,38872.01,24737.257,-15167.7,0,-15167.7,-910.16,0,-910.16,-3053.203,3053.203
"2014-01-12T00:00:00.000+01:00",-3607.982,13179.502,9571.52,-14749.625,42969.404,28219.779,-11653.8,4,-11649.8,-921.52,0,-921.52,-2651.185,2651.185
