"time","Spot_Price","Solar_photovoltaic","Combined_cycle","fe_year"
2014-01-01,20.02,7.631801,53.5346,2014
2014-01-02,5.13,3.836442,52.322227,2014
2014-01-03,15.3,8.673179,51.254562,2014
2014-01-04,21.5,8.813196,32.862777,2014
2014-01-05,5,10.878603,41.422898,2014
2014-01-06,25,14.575066,44.002059,2014
2014-01-07,24.8,15.038529,61.4529,2014
2014-01-08,35.44,16.509065,50.235866,2014
2014-01-09,26.46,13.48375,67.803967,2014
2014-01-10,44.95,9.63723,78.567867,2014
2014-01-11,55.69,11.343641,59.293168,2014
2014-01-12,46.73,11.090636,37.154746,2014
2014-01-13,37.5,8.208454,59.456535,2014
2014-01-14,7.4,7.283451,46.121797,2014
2014-01-15,44.86,6.902819,67.316523,2014
2014-01-16,29.12,7.648331,62.433983,2014
2014-01-17,27.93,11.94532,62.244389,2014
2014-01-18,53.64,9.120161,49.935804,2014
2014-01-19,54,11.021692,50.534291,2014
2014-01-20,26.62,17.31775,66.195412,2014
2014-01-21,47.5,10.746462,85.020088,2014
2014-01-22,45,10.110534,91.434886,2014
2014-01-23,45.69,20.917216,71.019965,2014
2014-01-24,44.17,17.907167,57.36074,2014
2014-01-25,25,16.660713,36.819803,2014
2014-01-26,36.69,18.287051,41.157365,2014
2014-01-27,4.69,16.418597,45.27289,2014
2014-01-28,3.5,11.395691,31.54384,2014
2014-01-29,1,12.132648,103.908437,2014
2014-01-30,29.69,20.82357,62.906062,2014
2014-01-31,30,11.159963,89.398126,2014
2014-02-01,22.69,12.262597,35.66705,2014
2014-02-02,24.69,22.786247,63.177557,2014
2014-02-03,28.36,11.120897,75.416051,2014
2014-02-04,15.98,11.883014,65.526283,2014
2014-02-05,0.1,11.845261,49.831451,2014
2014-02-06,3,15.568855,43.414586,2014
2014-02-07,0.5,18.011583,36.217905,2014
2014-02-08,3,9.360108,27.244768,2014
2014-02-09,0.2,5.652344,32.700784,2014
2014-02-10,0,17.013106,41.646075,2014
2014-02-11,0.51,6.192486,78.209461,2014
2014-02-12,14,13.733092,68.594312,2014
2014-02-13,0.5,14.157042,50.041828,2014
2014-02-14,0.5,16.444431,42.55992,2014
2014-02-15,6,12.893458,60.770643,2014
2014-02-16,40.1,16.820627,55.033705,2014
2014-02-17,25,15.406473,81.731418,2014
2014-02-18,46,10.999624,77.566098,2014
2014-02-19,18,25.376744,71.559965,2014
2014-02-20,7,15.57282,50.57461,2014
2014-02-21,5.5,20.958747,51.797204,2014
2014-02-22,49,24.388962,41.286869,2014
2014-02-23,21.5,27.395978,35.457496,2014
2014-02-24,13.1,14.042031,65.917725,2014
2014-02-25,16.3,15.897581,41.491825,2014
2014-02-26,10,21.200097,68.904107,2014
2014-02-27,26,11.490125,76.653177,2014
2014-02-28,5.78,15.90907,33.600995,2014
2014-03-01,4.73,7.461922,33.296097,2014
2014-03-02,1.19,14.21254,31.534713,2014
2014-03-03,0,20.297958,30.91638,2014
2014-03-04,1,22.863774,32.65455,2014
2014-03-05,2,23.767319,68.247471,2014
2014-03-06,35.1,29.528031,74.039657,2014
2014-03-07,36.4,30.115854,69.066736,2014
2014-03-08,33.7,30.750951,35.350227,2014
2014-03-09,11,26.662717,42.406044,2014
2014-03-10,22.69,30.796825,60.348311,2014
2014-03-11,20,28.589643,58.492528,2014
2014-03-12,29.7,21.461515,58.324031,2014
2014-03-13,37,21.630234,83.500814,2014
2014-03-14,39,21.61922,78.107034,2014
2014-03-15,35.7,30.117321,39.007696,2014
2014-03-16,23.2,30.798152,42.839849,2014
2014-03-17,35.01,30.520573,67.850002,2014
2014-03-18,43.56,28.649401,48.11629,2014
2014-03-19,22,26.736346,55.818365,2014
2014-03-20,42.3,26.753506,54.057157,2014
2014-03-21,31.15,21.503574,45.323438,2014
2014-03-22,36.1,19.462289,33.200559,2014
2014-03-23,17,30.837775,40.027364,2014
2014-03-24,36,21.991612,41.842657,2014
2014-03-25,10.03,20.503923,37.844265,2014
2014-03-26,6,24.846996,51.916004,2014
2014-03-27,38,26.488998,94.980828,2014
2014-03-28,38.88,15.662772,47.788599,2014
2014-03-29,30.4,13.187164,35.592559,2014
2014-03-30,33.2,16.546483,39.352617,2014
2014-03-31,28.64,21.605236,63.385205,2014
2014-04-01,28,16.874687,37.621274,2014
2014-04-02,22.1,10.921693,65.493115,2014
2014-04-03,34.1,18.312466,51.931716,2014
2014-04-04,9,25.029462,43.794722,2014
2014-04-05,17.9,21.749287,46.758516,2014
2014-04-06,33,30.461437,52.892233,2014
2014-04-07,35.69,31.317294,57.27389,2014
2014-04-08,37.69,30.943052,55.780093,2014
2014-04-09,28,27.4554,60.783113,2014
2014-04-10,33.73,27.798129,79.597315,2014
2014-04-11,28.69,25.960344,50.06772,2014
2014-04-12,25,25.548694,40.415064,2014
2014-04-13,22.29,32.11182,50.041331,2014
2014-04-14,21.69,25.433535,53.303307,2014
2014-04-15,33.1,26.87028,68.278406,2014
2014-04-16,38.01,30.495519,76.002282,2014
2014-04-17,31.69,31.370215,42.175364,2014
2014-04-18,33.78,30.931312,47.708822,2014
2014-04-19,23.56,20.717821,47.525206,2014
2014-04-20,15.72,18.929724,48.174397,2014
2014-04-21,30.08,17.572502,58.434779,2014
2014-04-22,26.84,27.519175,47.810009,2014
2014-04-23,31,27.031401,57.864124,2014
2014-04-24,41.5,24.272298,37.473433,2014
2014-04-25,13.9,32.879174,26.872882,2014
2014-04-26,17.1,24.312286,22.991987,2014
2014-04-27,16.69,33.717808,27.834913,2014
2014-04-28,31,31.75069,39.542942,2014
2014-04-29,37.5,32.221678,60.273353,2014
2014-04-30,33.4,31.476723,49.458363,2014
2014-05-01,36.75,32.806893,49.115041,2014
2014-05-02,20.04,33.05778,47.656981,2014
2014-05-03,31,34.761032,41.776825,2014
2014-05-04,37.5,34.601844,55.73372,2014
2014-05-05,46.01,33.32359,74.517932,2014
2014-05-06,44.27,29.977374,83.212493,2014
2014-05-07,46,27.096523,107.058115,2014
2014-05-08,45.4,30.505555,83.11016,2014
2014-05-09,45.83,31.969809,82.411997,2014
2014-05-10,52.15,30.491068,54.287784,2014
2014-05-11,45.4,29.978497,53.184148,2014
2014-05-12,42.5,31.579875,60.510966,2014
2014-05-13,36.5,30.908638,40.788128,2014
2014-05-14,30.4,31.545706,41.494647,2014
2014-05-15,33.01,33.131053,43.461071,2014
2014-05-16,32.5,34.084547,41.706986,2014
2014-05-17,30.1,33.10572,36.199272,2014
2014-05-18,44.19,29.477373,54.14383,2014
2014-05-19,45.11,27.16499,49.519143,2014
2014-05-20,49.1,21.843314,67.08297,2014
2014-05-21,45.89,23.930817,37.093942,2014
2014-05-22,28.25,25.682576,33.521291,2014
2014-05-23,34.12,28.59762,48.613516,2014
2014-05-24,53.86,26.463376,53.235713,2014
2014-05-25,49.9,29.517741,53.767552,2014
2014-05-26,44.17,33.481508,53.447226,2014
2014-05-27,46.2,27.598938,62.048632,2014
2014-05-28,51.16,20.903096,49.441543,2014
2014-05-29,45.4,30.240145,59.639648,2014
2014-05-30,54.7,29.484472,52.558486,2014
2014-05-31,48.6,27.203726,41.214164,2014
2014-06-01,36.5,27.412276,51.864996,2014
2014-06-02,45.5,33.409279,65.651959,2014
2014-06-03,50.8,34.161649,79.689257,2014
2014-06-04,47.48,32.783267,62.733682,2014
2014-06-05,54.7,30.581848,66.661529,2014
2014-06-06,49.48,27.549686,42.326676,2014
2014-06-07,44.2,30.952565,45.129393,2014
2014-06-08,49.48,32.904436,50.725818,2014
2014-06-09,51.23,30.717581,53.419766,2014
2014-06-10,47,26.530197,84.219745,2014
2014-06-11,50.06,29.273762,91.550942,2014
